filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170880_cube.fits,45.0,0.0,126214081.50902224,-0.5533262862125566,98025825.2490692,28188256.259953026,11234.504061551726,7.414342396559325e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170881_cube.fits,45.0,11.25,126777916.50478984,-0.4604546325977304,92576697.73525427,34201218.76953554,11259.569996442577,7.883811179694847e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170882_cube.fits,45.0,22.5,127033072.80435468,-0.1146743657161274,70800254.92658234,56232817.87777233,11270.894942477047,8.813879826614851e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170883_cube.fits,45.0,33.75,126989035.73312856,0.2728211979663564,46171867.43791199,80817168.29521656,11268.941198405844,8.537312766542906e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170884_cube.fits,45.0,45.0,126564769.88194466,0.4716884140465313,33432817.151082993,93131952.73086166,11250.100883189654,7.837843471422305e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170885_cube.fits,45.0,56.25,125981322.24055958,0.3616238361257905,40211736.605864525,85769585.63469505,11224.140155956697,8.306418780803262e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170886_cube.fits,45.0,67.5,125728715.9341154,0.0050600821308642,62546259.15264034,63182456.78147507,11212.881696250764,8.918199841855367e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170887_cube.fits,45.0,78.75,125892286.27491903,-0.3813654418122933,86951626.82545662,38940659.449462414,11220.173183820249,8.238949133577736e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170888_cube.fits,45.0,90.0,126231835.33928776,-0.5600196801414788,98462073.69483376,27769761.644454,11235.294181252566,7.373899526401518e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170889_cube.fits,57.5,0.0,125203184.94674158,-0.6437753993827677,102902957.66991234,22300227.276829243,11189.422904991194,6.838730729922964e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170890_cube.fits,57.5,11.25,125550450.26963758,-0.413726579355892,88747004.29814339,36803445.9714942,11204.929730687183,8.125005750313125e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170891_cube.fits,57.5,22.5,125767526.4104681,0.0455731426526517,60017952.49414635,65749573.916321754,11214.612182793844,8.907673206134634e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170892_cube.fits,57.5,33.75,125800191.58679296,0.4568835135676433,34162079.02356815,91638112.5632248,11216.0684549798,7.930822977423892e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170893_cube.fits,57.5,45.0,125750073.42163324,0.5736959483611681,26803882.896761417,98946190.52487184,11213.834019711245,7.304088384444066e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170894_cube.fits,57.5,56.25,125443646.09467602,0.3266439288385104,42234120.34324169,83209525.75143433,11200.162770900966,8.438694073410043e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170895_cube.fits,57.5,67.5,125182907.7969408,-0.1408832068589471,71409538.64565086,53773369.15128994,11188.5167827081,8.84859219613288e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170896_cube.fits,57.5,78.75,125127686.13426684,-0.5504026862380461,96999150.35265924,28128535.781607628,11186.048727511732,7.463755481454101e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170897_cube.fits,57.5,90.0,125222791.62071586,-0.6506018931158116,103346488.4552002,21876303.16551566,11190.298996037409,6.786404664871561e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170898_cube.fits,70.0,0.0,124738478.45661557,-0.8229954020618679,113698836.34330176,11039642.113313794,11168.63816481739,5.0860993521356606e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170899_cube.fits,70.0,11.25,124874846.57263708,-0.5149931120219292,94592266.2111702,30282580.361466885,11174.74145439782,7.670820117172213e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170900_cube.fits,70.0,22.5,124949820.06946468,0.0850527661126699,57161246.12363815,67788573.94582653,11178.095547519026,8.913651204622506e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170901_cube.fits,70.0,33.75,125062499.57865717,0.6204245470106726,23735327.464773174,101327172.11388396,11183.134604334206,7.0129366204953e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170902_cube.fits,70.0,45.0,125299026.555959,0.7732219586981272,14207533.909695864,111091492.64626312,11193.70477348581,5.665108106358303e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170903_cube.fits,70.0,56.25,124954651.35939884,0.4537873157428297,34125907.764718056,90828743.5946808,11178.311650665266,7.971776510405006e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170904_cube.fits,70.0,67.5,124904539.01037884,-0.150147288280612,71829308.41836357,53075230.59201527,11176.069926874065,8.846254952266626e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170905_cube.fits,70.0,78.75,124712166.67096734,-0.6843586707484013,105030009.6400318,19682157.03093553,11167.460171004295,6.529197533262273e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170906_cube.fits,70.0,90.0,124670812.1027124,-0.8280421944129719,113951752.46774484,10719059.634967566,11165.60845197038,5.0213634932555136e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170907_cube.fits,82.5,0.0,124289136.2396211,-0.9603595342308684,121825696.61433028,2463439.625290811,11148.503766856838,2.5004642752199964e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170908_cube.fits,82.5,11.25,124792086.81957532,-0.688136022376046,105333008.53380205,19459078.285773277,11171.03785776305,6.495204089795223e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170909_cube.fits,82.5,22.5,124863219.79180336,-0.0198385655562479,63670163.48160362,61193056.31019974,11174.221216344493,8.947408297502445e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170910_cube.fits,82.5,33.75,124896107.32313776,0.6539493690815138,21610188.369217396,103285918.95392036,11175.692699924142,6.769498193266295e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170911_cube.fits,82.5,45.0,124936200.72660238,0.9374497993742226,3907392.210435689,121028808.51616669,11177.48633309844,3.1144792030171766e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170912_cube.fits,82.5,56.25,125144419.38992073,0.6609709247507515,21213798.389184475,103930621.00073624,11186.796654535234,6.708010654900406e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170913_cube.fits,82.5,67.5,125012285.33519173,-0.0077772202011739,62992266.70304775,62020018.632143974,11180.889290892372,8.943561920250806e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170914_cube.fits,82.5,78.75,124871331.69809294,-0.6796856795249261,104872293.81824684,19999037.879846096,11174.58418457228,6.564033907633933e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170915_cube.fits,82.5,90.0,124313450.46830864,-0.962069610255968,121955821.65496445,2357628.8133441806,11149.594184018924,2.4467623985804797e-05,2290.0781
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170916_cube.fits,95.0,0.0,124997272.00803591,-0.9548246623860962,122173875.02614594,2823396.981889993,11180.21788732384,2.657996108501828e-05,2290.0781
