filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170808_cube.fits,45.0,0.0,169578750.3879571,-0.5443761692640114,130946690.4563656,38632059.93159151,13022.240605516285,6.441604343021003e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170809_cube.fits,45.0,11.25,171419915.75649166,-0.4325297621195096,122782065.5705967,48637850.185894966,13092.74286604956,6.886407727283755e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170810_cube.fits,45.0,22.5,173696389.3401432,-0.0599824848104815,92057565.18768692,81638824.15245628,13179.392601335738,7.573941075479957e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170811_cube.fits,45.0,33.75,176047529.39212322,0.34445900300339,57703186.46825123,118344342.923872,13268.290371864916,7.075526195164817e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170812_cube.fits,45.0,45.0,176848798.32457447,0.5479523804580116,39972039.15074253,136876759.17383194,13298.450974627627,6.290277932288501e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170813_cube.fits,45.0,56.25,175650141.78733873,0.4392709662434682,49246067.141806126,126404074.6455326,13253.306824613195,6.778343164254497e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170814_cube.fits,45.0,67.5,173300361.61676884,0.0735162812638519,80279981.7445116,93020379.87225723,13164.359521707422,7.57571240270473e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170815_cube.fits,45.0,78.75,171464300.57572746,-0.3385978677686782,114760873.57455826,56703427.001169205,13094.437772418009,7.185731800996881e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170816_cube.fits,45.0,90.0,171011477.37130785,-0.5445950642846211,132071741.94187164,38939735.42943621,13077.13567151874,6.413477249911338e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170817_cube.fits,57.5,0.0,169209706.41902447,-0.6358184290834783,138398178.07002258,30811528.349001884,13008.06313095937,5.933540278212294e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170818_cube.fits,57.5,11.25,170937215.80413437,-0.3848070822468116,118357533.53255844,52579682.27157593,13074.29599650147,7.059630789664519e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170819_cube.fits,57.5,22.5,173678195.00317287,0.0962768537996965,78478502.4073286,95199692.59584428,13178.70232622214,7.552751167551577e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170820_cube.fits,57.5,33.75,176113084.76740694,0.5174946065001641,42487756.63308382,133625328.13432312,13270.760519556026,6.447908295554261e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170821_cube.fits,57.5,45.0,176635178.988297,0.6401525084436315,31780863.039774414,144854315.94852257,13290.416810179318,5.780464717289656e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170822_cube.fits,57.5,56.25,175141301.9712286,0.4005093381585456,52497787.51725292,122643514.45397568,13234.096190191023,6.923726893770034e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170823_cube.fits,57.5,67.5,172063247.02122974,-0.0745241742014495,92443059.20795344,79620187.81327629,13117.28809705839,7.60232755389034e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170824_cube.fits,57.5,78.75,169726948.80907536,-0.5120370519092562,128316717.65341376,41410231.15566158,13027.92956724419,6.593245363285393e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170825_cube.fits,57.5,90.0,169325152.34275103,-0.6371588136132303,138606082.76216888,30719069.580582146,13012.499849865551,5.923016696315696e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170826_cube.fits,70.0,0.0,167519218.64384127,-0.8201638799660921,152456215.48783112,15063003.15601015,12942.92156523562,4.420398151331917e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170827_cube.fits,70.0,11.25,169521460.35650873,-0.490123761389676,126303978.07135582,43217482.28515291,13020.04072023236,6.694701445976984e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170828_cube.fits,70.0,22.5,172978682.45245934,0.1288107463881276,75348584.62826157,97630097.82419775,13152.136041436745,7.539985835945131e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170829_cube.fits,70.0,33.75,175950602.35868454,0.6645608583858467,29510359.510845184,146440242.84783936,13264.637287113605,5.633279881836643e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170830_cube.fits,70.0,45.0,176620891.34363294,0.8188673699954777,15995903.281407597,160624988.06222534,13289.879282507907,4.3189465201048706e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170831_cube.fits,70.0,56.25,175321537.08013964,0.5120974175451165,42769915.350679874,132551621.72945976,13240.90393742586,6.486923994925569e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170832_cube.fits,70.0,67.5,171625065.57371235,-0.0929666966188654,93790240.48854828,77834825.08516407,13100.575009277736,7.600194786274482e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170833_cube.fits,70.0,78.75,168407432.0196843,-0.65541240556329,139391876.07722092,29015555.9424634,12977.18891053391,5.819990759390419e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170834_cube.fits,70.0,90.0,167475296.35313487,-0.8213866022694905,152518630.49435616,14956665.858778715,12941.224685211786,4.407402436207282e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170835_cube.fits,82.5,0.0,166315653.85144132,-0.9644023012712514,163355426.5816021,2960227.269839227,12896.342654079928,2.0504992508685937e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170836_cube.fits,82.5,11.25,168285435.75409317,-0.6732112822099525,140788544.8676834,27496890.88640976,12972.487647097343,5.7001417203782133e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170837_cube.fits,82.5,22.5,172055156.70102787,0.0170957280223084,84556874.26861572,87498282.43241215,13116.97970956073,7.622592086759752e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170838_cube.fits,82.5,33.75,175810937.50555468,0.6834874797809458,27823181.45597887,147987756.0495758,13259.3716859267,5.505255095061975e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170839_cube.fits,82.5,45.0,176745056.677629,0.9594283865023836,3585416.0635695457,173159640.61405945,13294.549886236427,2.1208121339839012e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170840_cube.fits,82.5,56.25,176062670.57171822,0.6951238613618412,26838653.581113815,149224016.9906044,13268.860937236406,5.4178726655761464e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170841_cube.fits,82.5,67.5,172351081.91539574,0.0364601818495657,83033565.0633955,89317516.85200024,13128.255097894607,7.612093907958479e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170842_cube.fits,82.5,78.75,168520088.75501156,-0.6586191302106753,139755321.51693153,28764767.238080025,12981.528752616605,5.7965166245828056e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170843_cube.fits,82.5,90.0,166263647.65203643,-0.964467293314484,163309748.93979454,2953898.712241888,12894.32618061279,2.04898082719471e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170844_cube.fits,95.0,0.0,166998532.49396986,-0.9573248050119688,163435185.02552223,3563347.4684476256,12922.791203682347,2.2364689840164824e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170845_cube.fits,95.0,11.25,167781891.87020636,-0.7999825122983043,151002235.62334824,16779656.24685812,12953.064960471957,4.632288327579293e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170846_cube.fits,95.0,22.5,171273220.68317127,-0.1575674266864276,99130150.6632576,72143070.01991367,13087.139514927288,7.545638447190259e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170847_cube.fits,95.0,33.75,175551632.88023138,0.5658284967743328,38109758.170665264,137441874.70956612,13249.589913662663,6.223007397056384e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170848_cube.fits,95.0,45.0,177148074.15238738,0.963697124155981,3215492.2709805965,173932581.88140678,13309.698499680126,2.006039820197631e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170849_cube.fits,95.0,56.25,177074193.312876,0.8228000290694442,15688770.953796623,161385422.35907936,13306.92275895806,4.270942264473161e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170850_cube.fits,95.0,67.5,174118412.5877924,0.223456584293521,67605253.42415714,106513159.16363524,13195.3936124616,7.386773841341268e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170851_cube.fits,95.0,78.75,169917241.72814417,-0.5139435626603357,128622557.14966202,41294684.57848215,13035.230789216745,6.580811751901574e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170852_cube.fits,95.0,90.0,166973122.68220258,-0.9559413239205056,163294815.31908417,3678307.36311841,12921.808026828234,2.2718013220565645e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170853_cube.fits,107.5,0.0,169255799.2360487,-0.8022572444287978,152521245.16737747,16734554.068671228,13009.834712095642,4.588670802210887e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170854_cube.fits,107.5,11.25,168791027.63668275,-0.7738763300857175,149707204.32777786,19083823.308904886,12991.960115266778,4.8748359291869295e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170855_cube.fits,107.5,22.5,171313713.44676113,-0.265430933942734,108392836.20206642,62920877.24469471,13088.686467585703,7.366131652485031e-05,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/CRSA00170856_cube.fits,107.5,33.75,175149889.96473026,0.3984560071781831,52680182.07584286,122469707.8888874,13234.420650891005,6.930318068180129e-05,2213.4641
