filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154117_cube.fits,85.50399,22.5,1643388.3681240245,-26733.049516199622,835060.708820112,808327.6593039124,2841.206382003019,2841.206382003019,83.87981766548525,41.99246511,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154118_cube.fits,85.43126,67.5,1597574.6514171292,-39217.70653398498,818396.1789755571,779178.4724415721,2644.789580527447,2644.789580527447,83.83396670474883,41.85761247,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154119_cube.fits,85.34017,0.0,1484473.4368574813,-70075.1119055294,777274.2743815053,707199.1624759759,2001.0901993842303,2001.0901993842303,83.76331306430977,41.6499689,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154120_cube.fits,85.31183,45.0,1430135.406424298,-49772.88520870928,739954.1458165036,690181.2606077943,1818.3312783430752,1818.3312783430752,83.74407858219183,41.59359128,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154121_cube.fits,85.28045,22.5,1437957.842109072,-34567.65334005689,736262.7477245645,701695.0943845076,1816.2506238773665,1816.2506238773665,83.72482039184797,41.5371886,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154122_cube.fits,85.2487,67.5,1516677.185253007,-97268.58759991475,806972.886426461,709704.2988265463,1801.4291270107808,1801.4291270107808,83.70601296872697,41.48121892,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154123_cube.fits,85.20783,0.0,1535282.787167225,-55660.95441569458,795471.8707914598,739810.9163757652,1780.8153861380736,1780.8153861380736,83.68694315539884,41.42484729,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154124_cube.fits,85.18377,45.0,1444670.3327924607,-64257.47346894955,754463.9031307051,690206.4296617556,1921.0795756493549,1921.0795756493549,83.66759945680288,41.36845318,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154125_cube.fits,85.17031,22.5,1298167.0118233096,-33268.93723851105,665717.9745309104,632449.0372923993,1624.2483194173146,1624.2483194173146,83.64852651952278,41.31248544,1867.1678
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154126_cube.fits,85.14442,67.5,1104800.735921212,-51322.8132020355,578061.7745616237,526738.9613595882,1030.9586562675768,1030.9586562675768,83.62973518583892,41.2564907,1867.1678
