filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154117_cube.fits,85.50399,22.5,3364272.958849326,-57750.67230361723,1711011.8155764714,1653261.1432728542,4284.623940512914,4284.623940512914,83.87981766548525,41.99246511,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154118_cube.fits,85.43126,67.5,3345997.014905872,-131493.17347815097,1738745.0941920113,1607251.9207138603,4481.792952746408,4481.792952746408,83.83396670474883,41.85761247,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154119_cube.fits,85.34017,0.0,2889781.4945684606,-106700.61474052352,1498241.054654492,1391540.4399139686,3544.7582309761424,3544.7582309761424,83.76331306430977,41.6499689,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154120_cube.fits,85.31183,45.0,2687422.34487163,-94347.18554286496,1390884.7652072476,1296537.5796643826,3189.4324556637434,3189.4324556637434,83.74407858219183,41.59359128,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154121_cube.fits,85.28045,22.5,2577495.005483701,-64465.1908595711,1320980.098171636,1256514.907312065,3030.7171258017056,3030.7171258017056,83.72482039184797,41.5371886,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154122_cube.fits,85.2487,67.5,2720415.483085742,-135934.87486684392,1428175.1789762932,1292240.3041094493,3096.3828743966005,3096.3828743966005,83.70601296872697,41.48121892,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154123_cube.fits,85.20783,0.0,2807921.7309793243,-101560.80498163776,1454741.267980481,1353180.4629988433,3260.034990420338,3260.034990420338,83.68694315539884,41.42484729,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154124_cube.fits,85.18377,45.0,2750448.77963015,-98985.91026990442,1424717.3449500273,1325731.4346801229,3299.8255699144866,3299.8255699144866,83.66759945680288,41.36845318,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154125_cube.fits,85.17031,22.5,2440954.3355964394,-62066.20157403662,1251510.268585238,1189444.0670112013,2861.2889528487503,2861.2889528487503,83.64852651952278,41.31248544,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154126_cube.fits,85.14442,67.5,1857216.9264131517,-90917.22232895892,974067.0743710552,883149.8520420962,1899.4569679181184,1899.4569679181184,83.62973518583892,41.2564907,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154127_cube.fits,85.11367,0.0,1754031.0983546812,-66844.80472874292,910437.951541712,843593.1468129691,1750.174709057157,1750.174709057157,83.61047258007365,41.20011867,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154128_cube.fits,85.08685,45.0,1861293.3983260947,-68710.99214878073,965002.1952374376,896291.203088657,1899.0291169034392,1899.0291169034392,83.5914330891988,41.14377656,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154129_cube.fits,85.0535,22.5,1767798.0723998758,-50075.62564459909,908936.8490222376,858861.2233776384,1796.082854088336,1796.082854088336,83.57235478286252,41.08777256,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154130_cube.fits,85.03138,67.5,1727828.6213740122,-86721.91752755572,907275.269450784,820553.3519232282,1781.410909189667,1781.410909189667,83.55350122708396,41.0314193,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154131_cube.fits,85.0009,0.0,1818678.486174385,-69355.51642712939,944017.0013007572,874661.4848736278,1891.3327699652775,1891.3327699652775,83.53430752867408,40.9750841,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154132_cube.fits,84.97152,45.0,1460296.407222991,-52225.9383404596,756261.1727817254,704035.2344412658,1425.7273157226389,1425.7273157226389,83.51533865538659,40.91908186,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154133_cube.fits,84.9467,22.5,1262575.1603524396,-35475.35426217574,649025.2573073077,613549.9030451319,1151.1091247442037,1151.1091247442037,83.49609627041903,40.86274744,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154134_cube.fits,84.91329,67.5,1018792.6331614516,-50213.41460598644,534503.023883719,484289.60927773255,864.1979521302833,864.1979521302833,83.47732489910167,40.80640497,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154135_cube.fits,84.88909,0.0,577319.9693516169,-23004.548732560597,300162.2590420888,277157.71030952816,390.1762397073855,390.1762397073855,83.45823210207908,40.75040866,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154136_cube.fits,84.86504,45.0,449495.8983221378,-19645.10987292914,234570.50409753344,214925.3942246043,277.49640504056777,277.49640504056777,83.43928241917061,40.6940831,1575.0495
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/CRSA00154137_cube.fits,84.83539,22.5,515826.3778473981,-16567.928614588804,266197.1532309934,249629.22461640465,331.3974756924577,331.3974756924577,83.42018062159512,40.63811658,1575.0495
