,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
840,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:40:35.496128.cam1.A_collapsed_diff.fits,132.5,Open,IPOL_MBI,33.75,A,0.105,0.0962496,[-12212.5 -25029.5  -8036.5    313. ],[512.80178476 706.47277393 267.94073173 101.19184387],[16877.5 29980.  13741.   3877.5],[553.08572469 767.62741388 331.13422053  98.3384256 ]
568,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:22:53.765738.cam1.B_collapsed_diff.fits,132.5,Open,IPOL,33.75,B,0.105,0.0471744,17107,674.7557,31299,940.0666
413,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:25.854387.cam1.B_collapsed_diff.fits,132.5,625-50,IPOL,33.75,B,0.105,0.0471744,776,60.67952,1726,72.63415
570,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:57.314208.cam1.B_collapsed_diff.fits,132.5,675-50,IPOL,33.75,B,0.105,0.0471744,5744,191.09796,7358,237.6285
319,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:26.574524.cam1.B_collapsed_diff.fits,132.5,725-50,IPOL,33.75,B,0.105,0.0471744,11382,403.38232,14091,450.662
996,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:58.037526.cam1.B_collapsed_diff.fits,132.5,750-50,IPOL,33.75,B,0.105,0.0471744,9684,409.57422,13865,425.3375
1026,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:53:18.451056.cam1.B_collapsed_diff.fits,132.5,775-50,IPOL,33.75,B,0.105,0.0471744,3015,199.94963,6043,212.25291
163,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:40:35.496128.cam1.B_collapsed_diff.fits,132.5,Open,IPOL_MBI,33.75,B,0.105,0.0962496,[11442.  19219.   5551.5  -794.5],[510.35908189 452.24281013 227.45991718 104.36049943],[18059.5 28425.5 13067.   3675. ],[604.26524695 556.67489247 282.69600348 103.11366103]
790,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:37.323771.cam1.A_collapsed_diff.fits,45,Open,IPOL,45,A,0.105,0.0471744,-21971,967.52405,31737,1111.9731
344,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:05.463237.cam1.A_collapsed_diff.fits,45,625-50,IPOL,45,A,0.105,0.0471744,1111,65.580925,1694,79.279274
382,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:17.694189.cam1.A_collapsed_diff.fits,45,675-50,IPOL,45,A,0.105,0.0471744,-269,157.27818,7334.5,276.76218
969,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:07.940145.cam1.A_collapsed_diff.fits,45,725-50,IPOL,45,A,0.105,0.0471744,-9369,409.93887,14382,519.1303
1112,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:19.532205.cam1.A_collapsed_diff.fits,45,750-50,IPOL,45,A,0.105,0.0471744,-10463,416.7122,14277,514.2101
872,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:58.728948.cam1.A_collapsed_diff.fits,45,775-50,IPOL,45,A,0.105,0.0471744,-4464,196.49364,6001,249.98567
699,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:34:02.884323.cam1.A_collapsed_diff.fits,45,Open,IPOL_MBI,45,A,0.105,0.0962496,[-1.5401e+04 -2.3479e+04 -4.7150e+03  9.5000e+00],[602.88613942 927.66241379 490.60397489 161.73842737],[16343.5 29815.  13302.5  3629. ],[606.82314624 818.16051122 339.55257774 105.75807384]
463,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:37.323771.cam1.B_collapsed_diff.fits,45,Open,IPOL,45,B,0.105,0.0471744,19093,849.3833,31047,1083.824
224,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:05.463237.cam1.B_collapsed_diff.fits,45,625-50,IPOL,45,B,0.105,0.0471744,-1260,67.50687,1754,351.85092
368,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:17.694189.cam1.B_collapsed_diff.fits,45,675-50,IPOL,45,B,0.105,0.0471744,-497,228.7136,7335,275.64786
1080,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:07.940145.cam1.B_collapsed_diff.fits,45,725-50,IPOL,45,B,0.105,0.0471744,8292,383.984,14061,510.02988
725,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:19.532205.cam1.B_collapsed_diff.fits,45,750-50,IPOL,45,B,0.105,0.0471744,9483,417.5491,13804,482.063
158,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:58.728948.cam1.B_collapsed_diff.fits,45,775-50,IPOL,45,B,0.105,0.0471744,3887,185.98706,5863,245.70392
831,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:34:02.884323.cam1.B_collapsed_diff.fits,45,Open,IPOL_MBI,45,B,0.105,0.0962496,[14793.  20439.5  3972.   -256. ],[577.63436243 536.91856681 225.83926983  84.86159367],[17724.  28484.5 13069.   3674.5],[662.43714156 634.57018599 322.74502856 106.6133619 ]
291,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:08.501230.cam1.A_collapsed_diff.fits,57.5,Open,IPOL,45,A,0.105,0.0471744,-11573,806.0943,32156,1129.57
884,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:37.783858.cam1.A_collapsed_diff.fits,57.5,625-50,IPOL,45,A,0.105,0.0471744,1168,67.20709,1710,81.002495
465,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:46.517706.cam1.A_collapsed_diff.fits,57.5,675-50,IPOL,45,A,0.105,0.0471744,-1173,240.7486,7403,288.79254
