filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155481_cube.fits,86.33203,0.0,82.84,5197216.877039883,-180663.89738765312,2688940.387213768,2508276.489826115,6702.710461987452,6702.710461987452,78.29422089232283,43.63497933,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155482_cube.fits,86.30883,45.0,127.8,4329417.208373572,-166563.94290421435,2247990.575638893,2081426.6327346787,8404.51884493425,8404.51884493425,78.28984909839794,43.59460382,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155483_cube.fits,86.29572,22.5,105.22,4813053.500468664,-145752.18040646007,2479402.840437562,2333650.660031102,9336.02000929104,9336.02000929104,78.2853466221891,43.55386223,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155484_cube.fits,86.27276,67.5,150.22,5347245.963391356,-278372.193376428,2812809.078383892,2534436.885007464,8131.212030985717,8131.212030985717,78.28088650008564,43.51350481,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155485_cube.fits,86.25071,0.0,82.67,5349123.681181626,-72618.84097667038,2710871.2610791484,2638252.420102478,8492.713755504335,8492.713755504335,78.27648502754545,43.47315017,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155486_cube.fits,86.22913,45.0,127.59,5281773.135351683,-172924.0756664537,2727348.6055090684,2554424.5298426147,8061.777855250177,8061.777855250177,78.2720136500403,43.4327927,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155487_cube.fits,86.19789,22.5,105.05,5276947.4282635,-131978.43692386243,2704462.9325936814,2572484.495669819,8299.70640052108,8299.70640052108,78.26751012460018,43.39204501,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155488_cube.fits,86.17998,67.5,150.0,5222016.57110296,-114502.07050323673,2668259.3208030984,2553757.2502998617,8404.255143082206,8404.255143082206,78.26309522682786,43.3517095,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155489_cube.fits,86.17004,0.0,82.46,6226865.871380566,-221103.5259283236,3223984.698654445,3002881.1727261213,7064.213472277656,7064.213472277656,78.25851523811603,43.31094563,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155490_cube.fits,86.13742,45.0,127.42,5565791.774111874,-127411.36838791938,2846601.571249897,2719190.2028619777,7928.465560876148,7928.465560876148,78.25402807107814,43.27100108,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155491_cube.fits,86.12306,22.5,104.88,5127791.526192237,-202511.88104918,2665151.7036207085,2462639.8225715286,9299.348245651912,9299.348245651912,78.2495722550986,43.22986206,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155492_cube.fits,86.11208,67.5,149.83,4833485.352611504,-258099.7166775195,2545792.5346445115,2287692.817966992,8726.172706221345,8726.172706221345,78.24503571827792,43.18952833,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155493_cube.fits,86.08623,0.0,82.29,5333472.618498789,-294741.22208445566,2814106.920291622,2519365.6982071665,8461.733847688984,8461.733847688984,78.24051738939188,43.14955377,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155494_cube.fits,86.06908,45.0,127.25,4783867.131809396,-180307.2099339776,2482087.1708716867,2301779.960937709,9522.932494282342,9522.932494282342,78.23603417470109,43.10844276,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155495_cube.fits,86.05202,22.5,104.71,5100290.159874352,-224623.83472520392,2662456.997299778,2437833.162574574,9644.861805748054,9644.861805748054,78.23141391895884,43.06808196,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155496_cube.fits,86.0271,67.5,149.67,5302133.640424147,-63241.21230073832,2682687.426362443,2619446.2140617045,8687.536946445409,8687.536946445409,78.2269027778531,43.02812831,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155497_cube.fits,86.00926,0.0,82.12,6102963.137389483,-190964.1794410725,3146963.658415278,2955999.478974205,6656.660948971185,6656.660948971185,78.22240878676297,42.9873923,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155498_cube.fits,85.97177,45.0,127.08,6024551.372040155,-183802.5500485124,3104176.961044334,2920374.410995821,6531.487250570444,6531.487250570444,78.21778088350977,42.94703846,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155499_cube.fits,85.96808,22.5,104.54,4937221.397274148,-160401.2395845414,2548811.3184293443,2388410.078844803,8760.990270161168,8760.990270161168,78.21323111859537,42.90670258,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155500_cube.fits,85.94171,67.5,149.5,5298579.0613121465,-305881.15447289543,2802230.107892521,2496348.9534196258,7961.099199890126,7961.099199890126,78.20868127691237,42.8659565,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155501_cube.fits,85.91924,0.0,81.95,5683947.1975398185,-209698.6169500808,2946822.9072449496,2737124.290294869,7301.405886844201,7301.405886844201,78.20405930699067,42.82562263,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155502_cube.fits,85.90733,45.0,126.91,5518671.864720081,-235180.76413022447,2876926.3144251527,2641745.5502949283,8192.464256128509,8192.464256128509,78.19943699043641,42.7852637,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155503_cube.fits,85.87564,22.5,104.37,5933625.033670074,-163076.98613569234,3048351.009902884,2885274.023767191,7025.1545446761365,7025.1545446761365,78.19487997727445,42.74415644,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155504_cube.fits,85.86062,67.5,149.33,5958687.635546522,-357816.6672513103,3158252.1513989163,2800435.484147606,7132.977861418409,7132.977861418409,78.19019861235186,42.70380335,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155505_cube.fits,85.84323,0.0,81.78,5343550.296983304,-158995.5028948076,2751272.899939056,2592277.3970442484,8863.936819288987,8863.936819288987,78.18559927695196,42.66386342,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155506_cube.fits,85.82027,45.0,126.74,5714399.466682468,-222219.0393655044,2968309.253023986,2746090.2136584814,7588.491495111537,7588.491495111537,78.18106152947168,42.62311621,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155507_cube.fits,85.79584,22.5,104.2,6063709.988182863,-131534.23605534248,3097622.112119103,2966087.8760637604,7729.736924106035,7729.736924106035,78.17639576694751,42.58278922,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155508_cube.fits,85.78275,67.5,149.16,6915580.202313537,-398725.2878428972,3657152.745078217,3258427.45723532,5849.44430425354,5849.44430425354,78.17168216736339,42.54244109,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155509_cube.fits,85.75445,0.0,81.61,6058544.61640843,-182535.95901799249,3120540.2877132115,2938004.328695219,7227.497786284704,7227.497786284704,78.16711997815986,42.50172277,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155510_cube.fits,85.73457,45.0,126.57,5983075.194119271,-267916.3428958673,3125495.768507569,2857579.425611702,6067.191492385967,6067.191492385967,78.1623890387663,42.46137559,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155511_cube.fits,85.68866,22.5,104.03,5760330.120265684,-353893.336137916,3057111.7282018,2703218.392063884,7394.259201809097,7394.259201809097,78.15770023002287,42.42064925,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155512_cube.fits,85.68773,67.5,148.99,5914462.474021703,-214197.0807115208,3064329.777366612,2850132.696655091,7261.625685115017,7261.625685115017,78.15309356766501,42.37993489,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155513_cube.fits,85.65549,0.0,81.44,5479844.1327088345,-320369.45600208966,2900106.7943554623,2579737.3383533726,8283.265189447426,8283.265189447426,78.14838143580286,42.3399747,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155514_cube.fits,85.65507,45.0,126.4,6040927.478801359,-233719.0771842976,3137323.2779928283,2903604.2008085307,7779.662968242308,7779.662968242308,78.1436518530681,42.29925722,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155515_cube.fits,85.63916,22.5,103.86,6402119.824452836,-209240.3797030938,3305680.102077965,3096439.7223748714,6996.949630355273,6996.949630355273,78.13906030930836,42.25891094,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155516_cube.fits,85.61462,67.5,148.82,6032464.24541002,-264197.44228692027,3148330.8438484697,2884133.4015615494,7505.239895635495,7505.239895635495,78.13428391917878,42.21820449,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155517_cube.fits,85.59363,0.0,81.27,6009561.177243693,-265898.8374033617,3137730.0073235272,2871831.1699201656,7642.875043677829,7642.875043677829,78.1295167713736,42.17824427,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155518_cube.fits,85.58079,45.0,126.23,5297051.677692823,-107494.04644634949,2702272.8620695863,2594778.815623237,8352.444956255333,8352.444956255333,78.12489185598383,42.1375358,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155519_cube.fits,85.56015,22.5,103.69,5681193.24861805,-313477.8049991559,2997335.5268086027,2683857.721809447,7939.297525326028,7939.297525326028,78.12016318829478,42.09718835,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155520_cube.fits,85.54023,67.5,148.65,6021587.409135605,-232165.3614239953,3126876.3852798003,2894711.023855805,6946.347738129919,6946.347738129919,78.11534136097137,42.0568699,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155521_cube.fits,85.51976,0.0,81.1,6158832.729548276,-211508.7376409038,3185170.7335945894,2973661.9959536856,7071.068564731336,7071.068564731336,78.11067474312208,42.01613424,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155522_cube.fits,85.48445,45.0,126.06,6359302.786880687,-243408.7158114761,3301355.751346081,3057947.0355346054,6467.583162246685,6467.583162246685,78.10589395579727,41.97544168,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155523_cube.fits,85.48269,22.5,103.52,6428948.742232294,-266831.7754397206,3347890.258836007,3081058.4833962866,6386.043483291941,6386.043483291941,78.1010740794042,41.93508413,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155524_cube.fits,85.46347,67.5,148.48,5908694.708999354,-193390.82332809595,3051042.766163725,2857651.942835629,7620.328950170053,7620.328950170053,78.09638652947262,41.89477864,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155525_cube.fits,85.43841,0.0,80.94,5900361.956127126,-282474.91560517484,3091418.43586615,2808943.520260975,7043.603858414113,7043.603858414113,78.09159454870121,41.85443004,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155526_cube.fits,85.40679,45.0,125.89,5642689.066049498,-267574.6709193136,2955131.8684844053,2687557.197565092,7740.532450603514,7740.532450603514,78.08673185106265,41.81374129,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155527_cube.fits,85.39567,22.5,103.35,5874065.935545035,-211330.83962839795,3042698.387586717,2831367.5479583186,7553.048787091893,7553.048787091893,78.08202559682702,41.77337955,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155528_cube.fits,85.38104,67.5,148.31,6196301.477252678,-305309.1560732089,3250805.3166629435,2945496.1605897346,6705.535188847311,6705.535188847311,78.0771922681043,41.73308182,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155529_cube.fits,85.36109,0.0,80.77,6034954.242549292,-208410.4268232528,3121682.3346862723,2913271.9078630195,6667.708352716008,6667.708352716008,78.07235202580712,41.69273314,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155530_cube.fits,85.34134,45.0,125.72,5338640.48298721,-187681.75534696504,2763161.119167088,2575479.3638201226,8312.843436071224,8312.843436071224,78.0676275121953,41.65204932,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155531_cube.fits,85.3237,22.5,103.18,5388402.194413522,-141276.51044983463,2764839.352431678,2623562.841981844,8594.955788846652,8594.955788846652,78.06274980491118,41.61129238,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155532_cube.fits,85.3011,67.5,148.14,4753072.911989064,-286377.41998592205,2519725.165987493,2233347.746001571,10470.356572598395,10470.356572598395,78.0578664625995,41.57140197,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155533_cube.fits,85.28028,0.0,80.6,6262600.346181313,-338573.0462374161,3300586.696209364,2962013.649971948,6700.837051323814,6700.837051323814,78.05311728546279,41.53105012,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155534_cube.fits,85.26206,45.0,125.55,5588840.387557941,-157395.42776683858,2873117.90766239,2715722.479895551,8261.033780685866,8261.033780685866,78.04819196831103,41.48998794,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155535_cube.fits,85.22971,22.5,103.01,5951811.577350056,-169054.2683213926,3060432.9228357244,2891378.654514332,6637.77163469646,6637.77163469646,78.04325891335473,41.44961806,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155536_cube.fits,85.21494,67.5,147.97,5568090.569658361,-301287.1810054849,2934688.875331924,2633401.6943264385,7647.754407911175,7647.754407911175,78.03855109945363,41.40934513,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155537_cube.fits,85.19671,0.0,80.43,5734377.977398914,-122974.87254008184,2928676.424969498,2805701.552429416,8156.849211626564,8156.849211626564,78.03358668583977,41.36858893,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155538_cube.fits,85.17314,45.0,125.38,6151535.294533975,-115785.5136488448,3133660.40409141,3017874.890442565,6735.860372479293,6735.860372479293,78.02870250008603,41.32831696,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155539_cube.fits,85.15944,22.5,102.84,6085632.823733452,-254336.0108931642,3169984.417313308,2915648.406420144,6745.255820830699,6745.255820830699,78.02393383184544,41.28795898,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155540_cube.fits,85.13959,67.5,147.76,5803024.137855933,-265757.4157911446,3034390.776823539,2768633.361032394,7890.870147005822,7890.870147005822,78.01904146134046,41.24767797,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155541_cube.fits,85.11798,0.0,80.26,5303244.599151546,-281342.3731213068,2792293.486136426,2510951.1130151195,8912.705533536338,8912.705533536338,78.01403448375088,41.20692671,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155542_cube.fits,85.10013,45.0,125.21,5451203.282394862,-195271.26626097644,2823237.27432792,2627966.008066943,8698.578662750764,8698.578662750764,78.00920421520307,41.16666263,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155543_cube.fits,85.07749,22.5,102.67,5853594.06072307,-137226.23940496426,2995410.150064017,2858183.910659053,7410.816608293058,7410.816608293058,78.00426382832968,41.12629748,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155544_cube.fits,85.05523,67.5,147.63,5424576.038118669,-255153.94734172057,2839864.9927301947,2584711.045388474,8640.039215733961,8640.039215733961,77.99925627697645,41.08563946,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155545_cube.fits,85.03652,0.0,80.09,5327931.784242173,-249808.87502689008,2788870.3296345314,2539061.4546076413,9446.406490494826,9446.406490494826,77.994431775042,41.04528431,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155546_cube.fits,85.01132,45.0,125.04,5489519.079066373,-259579.17579086265,2874549.127428618,2614969.951637755,8349.84899671598,8349.84899671598,77.98941818923763,41.00462702,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155547_cube.fits,84.97901,22.5,102.5,6398808.1245589815,-185373.83905856265,3292090.981808772,3106717.142750209,6653.5115218951805,6653.5115218951805,77.98442204957496,40.96426775,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155548_cube.fits,84.9698,67.5,147.46,6618646.333210399,-298758.50962058874,3458702.4214154943,3159943.9117949056,6344.686318705346,6344.686318705346,77.9795834742489,40.92400251,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155549_cube.fits,84.95275,0.0,79.92,6341794.507795388,-293699.32363351947,3317746.915714454,3024047.5920809344,6934.711316229592,6934.711316229592,77.97465536516013,40.88364923,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155550_cube.fits,84.92513,45.0,124.87,6426329.937234696,-236985.90237293343,3331657.919803815,3094672.017430881,6962.748984027419,6962.748984027419,77.96952607017822,40.84299388,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155551_cube.fits,84.90421,22.5,102.33,6528523.900516486,-284957.2127438509,3406740.5566301686,3121783.3438863177,6083.7432771452695,6083.7432771452695,77.96468584670878,40.80263756,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155552_cube.fits,84.89766,67.5,147.25,6443555.81980338,-376598.237764074,3410077.0287837265,3033478.7910196525,5693.850987092414,5693.850987092414,77.95963236889237,40.76237226,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155553_cube.fits,84.8766,0.0,79.7,6192654.820396775,-310281.4211784215,3251468.120787598,2941186.6996091767,6539.527157664475,6539.527157664475,77.95457699345786,40.72163464,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155554_cube.fits,84.85692,45.0,124.7,5192851.574764672,-171581.96737402678,2682216.7710693493,2510634.8036953225,8152.294559750468,8152.294559750468,77.94967004159085,40.68136619,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155555_cube.fits,84.82993,22.5,102.16,5658332.793753846,-190918.2148118317,2924625.5042828387,2733707.289471007,7223.552038590848,7223.552038590848,77.94460843180471,40.64102365,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155556_cube.fits,84.81623,67.5,147.12,5286061.400188675,-347146.6431291709,2816604.021658923,2469457.378529752,8387.258625674425,8387.258625674425,77.93955867241735,40.60036792,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155557_cube.fits,84.79662,0.0,79.58,6092457.1102316845,-274382.3256342015,3183419.717932944,2909037.3922987417,5603.180350310871,5603.180350310871,77.9346664522835,40.56002331,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155558_cube.fits,84.76811,45.0,124.53,5023408.453419406,-169556.09495370975,2596482.2741865576,2426926.179232848,7372.150457531903,7372.150457531903,77.92956833527099,40.51975574,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155559_cube.fits,84.7512,22.5,101.99,5450006.713028044,-118678.76353734171,2784342.7382826926,2665663.974745351,7037.74816739081,7037.74816739081,77.92448161558855,40.47942531,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155560_cube.fits,84.73653,67.5,146.95,5151866.916919368,-280268.56338039506,2716067.7401498817,2435799.1767694866,8932.371378181972,8932.371378181972,77.91955517827127,40.43914142,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155561_cube.fits,84.70784,0.0,79.36,5570259.502282055,-196462.4701185389,2883360.986200297,2686898.516081758,8134.755854107114,8134.755854107114,77.91448456632504,40.39842558,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155562_cube.fits,84.69355,45.0,124.36,5687450.1286780685,-291295.2894507586,2989372.709064414,2698077.419613655,7575.280205634745,7575.280205634745,77.90933334813148,40.35815677,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155563_cube.fits,84.67153,22.5,101.82,5257081.590600374,-174319.99354515318,2715700.792072764,2541380.7985276105,8073.497249409266,8073.497249409266,77.90429456214704,40.3174338,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155564_cube.fits,84.65738,67.5,146.73,5784682.158536883,-269080.14003119664,3026881.14928404,2757801.0092528434,7381.742313868679,7381.742313868679,77.89928030016219,40.27717303,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155565_cube.fits,84.63487,0.0,79.19,6051185.048551585,-182238.4697291357,3116711.75914036,2934473.2894112244,6696.733617008205,6696.733617008205,77.89405925618338,40.2368443,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155566_cube.fits,84.61589,45.0,124.15,5992436.2290033605,-295900.546654243,3144168.3878288018,2848267.8411745587,7096.8009984123,7096.8009984123,77.88908172047658,40.19618741,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155567_cube.fits,84.59142,22.5,101.61,6208390.998484839,-113215.7356522535,3160803.367068546,3047587.6314162924,6467.463705044476,6467.463705044476,77.88402066371636,40.1558555,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155568_cube.fits,84.57002,67.5,146.56,6371399.532551048,-384043.8894530269,3377721.7110020374,2993677.8215490105,6693.349748712999,6693.349748712999,77.87875651842829,40.1144051,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155569_cube.fits,84.55372,0.0,79.02,5777939.896131517,-228588.37874495285,3003264.137438235,2774675.758693282,8248.887651216297,8248.887651216297,77.87379465821769,40.07486945,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155570_cube.fits,84.53156,45.0,123.98,6589906.912648065,-246369.0324922712,3418137.972570168,3171768.9400778967,6308.897316778543,6308.897316778543,77.86869377382298,40.03461741,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155571_cube.fits,84.51351,22.5,101.44,5813408.505850336,-204670.44354128884,3009039.4746958124,2804369.031154524,7373.6935363961875,7373.6935363961875,77.8633797936048,39.99389527,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155572_cube.fits,84.49501,67.5,146.39,6512064.189725377,-336256.2495496036,3424160.2196374903,3087903.970087887,5821.858958493172,5821.858958493172,77.85839884741348,39.95364125,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155573_cube.fits,84.46967,0.0,78.89,5188131.146034524,-83270.69463334838,2635700.9203339363,2552430.225700588,8875.102547843924,8875.102547843924,77.85325070881248,39.91330718,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155574_cube.fits,84.4502,45.0,123.81,6518298.579253221,-223214.11766964337,3370756.348461432,3147542.2307917885,6456.263061163657,6456.263061163657,77.84802109767907,39.87306021,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155575_cube.fits,84.41603,22.5,101.26,6498776.755202383,-155143.17306522792,3326959.964133805,3171816.791068577,6748.616658983433,6748.616658983433,77.84293477802116,39.83233813,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155576_cube.fits,84.40768,67.5,146.26,5292962.387268741,-289355.27130286675,2791158.829285804,2501803.557982937,8394.474897577742,8394.474897577742,77.83777629747922,39.79208316,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155577_cube.fits,84.39014,0.0,78.72,6156990.352821643,-139204.64573383704,3148097.4992777403,3008892.853543903,6905.177579101939,6905.177579101939,77.8324599267077,39.75058493,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155578_cube.fits,84.36474,45.0,123.64,6025842.810471101,-144423.58376201428,3085133.197116557,2940709.613354543,7358.70671015512,7358.70671015512,77.82745563483856,39.71112005,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155579_cube.fits,84.35097,22.5,101.09,6354558.936579602,-199947.90400369183,3277253.420291647,3077305.516287955,6294.6429867348725,6294.6429867348725,77.82219177000351,39.67079371,1575.0495
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155580_cube.fits,84.33146,67.5,146.05,6139774.951607545,-368566.4378193235,3254170.694713434,2885604.2568941107,6289.682483451667,6289.682483451667,77.81695851326845,39.63054388,1575.0495
