filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170840_cube.fits,82.49986,56.25,56.25,390199679.03543,269464938.75204563,60367370.14169216,329832308.8937378,19753.47258168624,19753.47258168624,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170837_cube.fits,82.49986,22.5,11.25,389674955.8422928,3529282.320083618,193072836.76110455,196602119.0811882,19740.186317314558,19740.186317314558,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170841_cube.fits,82.49986,67.5,56.25,389631740.28228,308175.3628997803,194661782.4596901,194969957.82258987,19739.091678248013,19739.091678248013,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170838_cube.fits,82.49986,33.75,33.75,390086047.5474072,272179268.33452034,58953389.606443405,331132657.94096375,19750.596131443912,19750.596131443912,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170842_cube.fits,82.49986,78.75,78.75,393911228.8975096,-268552322.30385303,331231775.6006813,62679453.29682827,19847.1970035446,19847.1970035446,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170844_cube.fits,94.99962,0.0,0.0,399342691.9767937,-385596780.7302376,392469736.3535156,6872955.623278022,19983.5605430262,19983.5605430262,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170848_cube.fits,94.99962,45.0,45.0,392231455.6545841,369655192.3348874,11288131.659848332,380943323.9947357,19804.83414862604,19804.83414862604,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170845_cube.fits,94.99962,11.25,0.0,396568790.8209424,-328043115.09331846,362305952.9571304,34262837.86381197,19914.03502108356,19914.03502108356,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170849_cube.fits,94.99962,56.25,45.0,392195000.9429846,312313990.727746,39940505.107619286,352254495.8353653,19803.91377841725,19803.91377841725,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170846_cube.fits,94.99962,22.5,11.25,391381636.93097496,-83684934.39226723,237533285.6616211,153848351.26935387,19783.3676842689,19783.3676842689,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170850_cube.fits,94.99962,67.5,67.5,391149548.8372936,67329299.31586647,161910124.76071358,229239424.07658005,19777.501076660155,19777.501076660155,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170847_cube.fits,94.99962,33.75,33.75,390285175.0755959,203600810.8298378,93342182.12287904,296942992.9527168,19755.63653936759,19755.63653936759,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170851_cube.fits,94.99962,78.75,76.752,394942221.54971886,-219784668.3848896,307363444.9673042,87578776.58241463,19873.153286524983,19873.153286524983,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170853_cube.fits,107.49968,0.0,0.0,400904832.883831,-325521835.5104256,363213334.1971283,37691498.68670273,20022.60804400443,20022.60804400443,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170857_cube.fits,107.49968,45.0,45.0,393594078.98027134,296830441.3045721,48381818.83784962,345212260.1424217,19839.20560355861,19839.20560355861,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170854_cube.fits,107.49968,11.25,0.0,399359851.19057465,-327837248.3723221,363598549.7814484,35761301.40912628,19983.98987165913,19983.98987165913,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170858_cube.fits,107.49968,56.25,55.688,394629684.5208588,294286562.9072113,50171560.80682373,344458123.71403503,19865.28843286346,19865.28843286346,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170855_cube.fits,107.49968,22.5,11.25,394241646.55184746,-143168727.94147682,268705187.24666214,125536459.30518532,19855.519296957395,19855.519296957395,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170859_cube.fits,107.49965,67.5,56.25,393961331.2920437,107287714.93123816,143336808.18040276,250624523.11164093,19848.45916669714,19848.45916669714,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170856_cube.fits,107.49968,33.75,33.75,391457598.7706661,114885389.55977058,138286104.60544777,253171494.16521835,19785.28743209626,19785.28743209626,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170860_cube.fits,107.49968,78.75,78.75,397378366.4908447,-149600635.19045258,273489500.84064865,123888865.65019608,19934.351418865997,19934.351418865997,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170862_cube.fits,119.99981,0.0,0.0,403341697.64724064,-249127981.62500668,326234839.63612366,77106858.01111698,20083.36868274943,20083.36868274943,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170866_cube.fits,119.99981,45.0,45.0,395517298.8470173,211384540.7926159,92066379.0272007,303450919.8198166,19887.616721141258,19887.616721141258,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170863_cube.fits,119.99981,11.25,11.25,401114239.0475817,-267524813.9827452,334319526.5151634,66794712.53241825,20027.8366042761,20027.8366042761,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170867_cube.fits,119.99981,56.25,56.25,396091590.014843,220976789.67796707,87557400.16843796,308534189.846405,19902.049894793323,19902.049894793323,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170864_cube.fits,119.99981,22.5,11.25,396848781.8153267,-136817666.07009506,266833223.94271088,130015557.8726158,19921.063772181613,19921.063772181613,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170868_cube.fits,119.99981,67.5,56.25,397189546.8253536,86545665.61918068,155321940.60308647,241867606.22226715,19929.61481879049,19929.61481879049,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170865_cube.fits,119.99981,33.75,22.5,393697447.1431198,62629770.75088501,165533838.1961174,228163608.9470024,19841.810581273065,19841.810581273065,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170869_cube.fits,119.99981,78.75,67.5,400756704.23046494,-110784474.89204024,255770589.5612526,144986114.66921234,20018.90866731913,20018.90866731913,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170871_cube.fits,132.4997,0.0,0.0,406660634.5628815,-211422454.02037048,309041544.291626,97619090.2712555,20165.82838771771,20165.82838771771,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170875_cube.fits,132.4997,45.0,45.0,396715878.1041317,168059772.85064888,114328052.6267414,282387825.4773903,19917.72773446137,19917.72773446137,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170872_cube.fits,132.4997,11.25,11.25,404084343.1288242,-194656719.00770375,299370531.068264,104713812.06056024,20101.84924649532,20101.84924649532,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170876_cube.fits,132.4997,56.25,56.25,397799121.1302891,140963859.06728935,128417631.03149986,269381490.0987892,19944.902133885967,19944.902133885967,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170873_cube.fits,132.4997,22.5,22.5,398280757.5875473,-72115513.1863327,235198135.38694,163082622.2006073,19956.97265588013,19956.97265588013,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170877_cube.fits,132.4997,67.5,56.25,399501027.4189606,14641521.541687012,192429752.9386368,207071274.4803238,19987.52179283266,19987.52179283266,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170874_cube.fits,132.4997,33.75,22.5,395461530.70436096,79191024.70344543,158135253.00045776,237326277.7039032,19886.214589618638,19886.214589618638,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170878_cube.fits,132.4997,78.75,67.5,403855287.81363297,-134672698.36091232,269263993.08727264,134591294.72636032,20096.15106963602,20096.15106963602,1931.7956
